user,item
0,7
0,4
0,46
0,6
0,37
0,0
0,17
0,39
0,27
0,42
1,37
1,4
1,0
1,17
1,21
1,6
1,7
1,46
1,61
1,106
1,63
1,16
1,23
1,8
1,27
1,41
1,33
2,0
2,1
2,12
2,19
2,10
2,22
2,14
3,19
3,1
3,0
3,7
3,10
3,12
3,2
4,18
4,0
4,14
4,8
4,25
4,30
4,13
4,6
4,2
4,4
4,62
4,24
4,3
4,29
4,22
5,0
5,6
5,41
5,31
5,4
5,7
5,21
5,8
6,2
6,0
6,4
6,11
6,9
6,33
6,15
6,35
6,44
6,45
6,1
7,10
7,1
7,0
7,12
7,24
7,8
7,19
7,18
7,5
8,0
8,4
8,3
8,6
8,52
8,27
8,7
9,22
9,3
9,0
9,36
9,9
9,20
9,4
9,5
9,41
9,1
9,31
10,0
10,24
10,64
10,15
10,16
10,41
10,110
11,0
11,2
11,1
11,29
11,32
11,51
11,3
11,7
11,4
11,28
11,24
11,43
11,6
11,81
12,0
12,1
12,55
12,37
12,8
12,15
12,29
12,34
12,62
12,23
12,27
12,38
12,4
12,2
12,59
12,7
12,6
12,21
12,33
12,10
12,43
12,30
12,28
13,0
13,22
13,14
13,8
13,20
13,13
13,25
14,1
14,28
14,12
14,10
14,0
14,2
15,0
15,18
15,12
15,1
15,24
15,20
15,10
15,22
15,2
15,5
15,19
15,72
15,13
15,34
15,8
16,1
16,0
16,18
16,3
16,24
16,8
16,14
16,25
16,5
16,13
16,77
16,15
16,2
16,20
16,47
16,11
17,2
17,0
17,11
17,8
17,15
17,6
17,49
17,41
18,26
18,3
18,11
18,2
18,47
19,1
19,2
19,10
19,0
19,11
19,3
19,12
19,9
19,31
19,5
19,19
20,0
20,11
20,5
20,10
20,3
20,9
20,8
20,22
20,1
20,6
20,12
20,13
21,0
21,3
21,2
21,26
21,11
21,47
21,9
22,0
22,3
22,20
22,2
22,47
22,26
22,28
22,42
22,8
22,11
22,31
23,0
23,2
23,15
23,23
23,54
24,0
24,8
24,1
24,10
24,17
24,19
24,28
24,21
24,15
24,33
25,1
25,2
25,0
25,3
25,11
25,10
25,9
25,12
25,5
25,17
25,39
25,7
26,0
26,1
26,12
26,35
26,15
26,10
26,90
26,6
27,46
27,74
27,0
27,30
27,32
27,4
27,15
27,76
27,109
27,7
27,115
27,17
27,75
28,37
28,34
28,0
28,44
28,6
28,4
28,15
28,60
29,4
29,11
29,0
29,33
29,2
29,31
29,35
30,9
30,1
30,2
30,0
30,5
30,3
30,8
30,26
30,11
30,25
30,13
31,20
31,0
31,14
31,24
31,8
31,6
31,10
31,41
31,43
32,13
32,3
32,9
32,26
32,0
32,11
32,1
32,47
32,2
33,0
33,1
33,5
33,15
33,10
33,35
34,55
34,27
34,0
34,29
34,62
34,28
34,56
34,4
34,49
34,11
34,23
34,38
34,2
34,14
34,37
34,1
34,33
34,21
34,34
34,44
34,6
34,8
35,2
35,0
35,32
35,13
35,4
35,3
35,46
35,17
35,7
35,16
35,9
35,1
35,18
35,25
35,8
36,40
36,9
36,3
36,1
36,5
36,0
37,3
37,2
37,26
37,0
37,45
37,30
37,4
37,24
38,0
38,6
38,4
38,24
38,7
38,21
38,17
38,37
39,5
39,1
39,0
39,54
39,13
39,2
39,4
39,15
39,48
39,9
39,62
39,76
39,31
40,0
40,2
40,1
40,10
40,3
40,5
40,24
40,12
41,2
41,0
41,18
41,25
41,7
41,8
41,3
41,1
41,14
41,23
41,13
42,8
42,0
42,44
42,13
42,4
42,36
43,2
43,26
43,3
43,0
43,5
43,4
44,3
44,2
44,33
44,26
44,0
44,15
45,21
45,7
45,16
45,4
45,0
45,42
45,31
45,28
45,49
45,6
46,0
46,1
46,24
46,19
46,12
46,5
47,1
47,0
47,10
47,72
47,6
47,8
47,2
48,0
48,7
48,2
48,48
48,21
48,15
48,9
48,6
48,30
49,0
49,7
49,4
49,16
49,61
49,6
49,21
50,0
50,4
50,6
50,37
50,68
50,27
50,29
50,88
50,17
50,34
50,114
50,28
50,7
50,42
50,16
51,116
51,0
51,1
51,19
51,72
52,0
52,43
52,10
52,1
52,17
52,72
52,29
52,6
52,8
52,34
53,31
53,41
53,0
53,29
53,55
53,37
53,2
53,62
53,23
53,8
53,34
53,32
53,27
53,5
53,1
53,14
54,0
54,4
54,32
54,49
54,14
54,41
54,27
54,8
54,85
55,11
55,3
55,27
55,1
55,4
55,0
55,2
55,9
56,0
56,3
56,20
56,5
56,1
56,31
56,41
56,9
57,2
57,0
57,31
57,11
57,23
57,3
57,8
57,20
57,40
57,24
57,57
57,22
58,0
58,1
58,5
58,9
58,3
59,13
59,0
59,15
59,23
59,18
60,10
60,1
60,0
60,72
60,12
60,15
60,7
61,10
61,16
61,12
61,0
61,5
61,6
61,1
61,3
61,24
61,2
61,48
61,19
61,50
61,9
62,2
62,0
62,43
62,4
62,7
62,17
62,21
62,45
62,6
62,39
62,23
62,28
62,1
63,0
63,22
63,1
63,5
63,10
63,2
63,8
64,3
64,0
64,8
64,2
64,1
64,14
64,5
65,0
65,19
65,12
65,7
65,2
65,10
65,6
65,24
65,1
65,4
65,5
65,23
66,4
66,0
66,27
66,17
66,8
67,47
67,2
67,3
67,11
67,9
67,0
67,40
67,12
67,19
67,26
68,0
68,5
68,1
68,24
68,8
68,10
68,20
68,19
68,3
68,2
68,18
69,12
69,19
69,1
69,0
69,7
70,0
70,1
70,10
70,12
70,30
70,2
71,15
71,4
71,0
71,7
71,32
71,6
71,58
71,16
71,17
71,21
71,8
71,23
72,0
72,1
72,10
72,24
72,49
72,4
72,42
72,30
73,38
73,0
73,4
73,1
73,16
73,19
73,12
73,6
73,5
73,10
73,14
74,14
74,1
74,0
74,30
74,24
75,0
75,3
75,2
75,29
75,26
75,40
75,19
75,30
75,1
75,16
75,13
75,22
75,10
75,9
75,15
75,4
76,0
76,9
76,1
76,25
76,20
76,3
76,5
76,32
76,22
76,15
76,41
76,82
76,17
77,18
77,8
77,10
77,0
77,1
77,20
77,2
77,14
77,13
77,5
77,28
78,12
78,1
78,0
78,7
78,43
78,42
78,27
79,26
79,0
79,1
79,2
79,3
79,40
79,7
80,7
80,3
80,0
80,4
80,31
81,4
81,70
81,0
81,2
81,11
81,76
81,3
81,45
81,26
81,33
81,40
81,1
81,6
81,67
81,7
81,39
81,15
81,23
81,29
81,42
82,0
82,93
82,40
82,2
82,3
82,10
82,15
82,5
82,51
82,19
82,4
82,1
82,6
82,8
82,12
82,57
82,47
82,45
82,72
82,11
82,71
82,20
82,13
82,24
83,11
83,1
83,2
83,10
83,42
83,0
83,3
83,12
83,8
84,1
84,3
84,0
84,5
84,2
84,12
84,54
84,10
84,24
84,11
85,5
85,1
85,9
85,0
85,10
85,2
85,13
85,19
85,3
86,9
86,0
86,3
86,5
86,1
86,2
86,4
87,4
87,13
87,0
87,1
87,25
87,12
87,28
87,21
88,1
88,0
88,10
88,19
88,12
88,25
89,0
89,12
89,1
89,2
89,3
89,4
90,0
90,20
90,25
90,7
90,8
90,13
91,13
91,9
91,1
91,76
91,0
91,95
91,4
91,2
91,27
91,38
91,6
91,15
91,54
91,25
92,13
92,14
92,8
92,0
92,20
93,1
93,0
93,2
93,11
93,3
93,9
93,24
94,40
94,3
94,26
94,2
94,11
95,0
95,2
95,4
95,18
95,3
95,40
95,11
95,1
95,20
95,24
95,15
96,7
96,6
96,50
96,48
96,16
96,12
96,13
96,0
96,17
96,19
96,36
96,39
96,4
97,0
97,26
97,3
97,9
97,2
97,65
97,8
97,1
97,10
97,24
97,47
97,11
97,13
98,1
98,10
98,12
98,0
98,5
98,19
98,22
98,6
99,1
99,6
99,8
99,23
99,38
99,0
99,12
99,4
99,55
99,7
99,2
99,11
99,14
99,34
99,31
100,25
100,21
100,4
100,61
100,42
100,27
100,0
100,31
100,64
100,58
100,28
101,5
101,1
101,6
101,3
101,32
101,4
101,7
101,0
101,17
101,37
101,69
102,0
102,1
102,19
102,12
102,2
102,10
102,24
102,3
103,0
103,2
103,5
103,1
103,10
103,8
103,12
103,4
104,12
104,1
104,0
104,8
104,28
104,14
105,0
105,9
105,5
105,2
105,1
105,15
105,107
105,8
106,0
106,10
106,1
106,5
106,12
106,4
106,72
106,7
106,55
106,29
106,8
106,18
106,24
107,0
107,6
107,2
107,43
107,5
107,1
107,7
107,4
107,3
107,25
107,17
107,45
108,53
108,0
108,4
108,28
108,15
108,16
108,23
108,7
108,36
108,41
108,13
108,62
108,1
108,39
108,32
108,30
108,8
108,2
108,17
108,24
108,21
109,2
109,1
109,6
109,3
109,0
109,48
109,5
110,2
110,0
110,30
